date,y_true,var_01,var_025,var_05,es_025
2018-01-01,-0.00522354,-0.01246111,-0.01053245,-0.00867178,-0.01228717
2018-01-02,-0.00178842,-0.01246111,-0.01053245,-0.00867178,-0.01228717
2018-01-03,-0.00538452,-0.01246111,-0.01053245,-0.00867178,-0.01228717
2018-01-04,0.00427282,-0.01246111,-0.01053245,-0.00867178,-0.01228717
2018-01-05,-0.00483152,-0.01246111,-0.01053245,-0.00867178,-0.01228717
2018-01-08,0.00235676,-0.01246111,-0.01053245,-0.00838349,-0.01228717
2018-01-09,0.00617552,-0.01246111,-0.01053245,-0.00838349,-0.01228717
2018-01-10,0.00325766,-0.01246111,-0.01053245,-0.00838349,-0.01228717
2018-01-11,-0.00239613,-0.01246111,-0.01053245,-0.00838349,-0.01228717
2018-01-12,-0.00635591,-0.01246111,-0.01053245,-0.00838349,-0.01228717
2018-01-15,-0.01289696,-0.01246111,-0.01053245,-0.00838349,-0.01228717
2018-01-16,-0.00660605,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-01-17,0.00239584,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-01-18,0.00690302,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-01-19,-0.00413614,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-01-22,0.00094154,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-23,-0.00509478,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-24,-0.00195679,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-25,-0.00646555,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-26,0.00006360,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-29,-0.00490835,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-30,0.00319000,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-01-31,-0.00197662,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-02-01,0.00114822,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-02-02,-0.00954438,-0.01308070,-0.01079703,-0.00838349,-0.01261779
2018-02-05,0.00385434,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-06,0.00957127,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-07,-0.00063527,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-08,0.00929772,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-09,0.00056647,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-12,0.00150891,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-13,-0.00763097,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-14,-0.00399631,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-15,-0.00893836,-0.01308070,-0.01079703,-0.00867178,-0.01261779
2018-02-16,-0.00340470,-0.01308070,-0.01079703,-0.00875544,-0.01261779
2018-02-19,0.00801153,-0.01308070,-0.01079703,-0.00875544,-0.01261779
2018-02-20,0.00051057,-0.01308070,-0.01079703,-0.00875544,-0.01261779
2018-02-21,0.00521832,-0.01308070,-0.01079703,-0.00875544,-0.01261779
2018-02-22,0.00455957,-0.01308070,-0.01074685,-0.00867178,-0.01261779
2018-02-23,-0.00436922,-0.01308070,-0.01074685,-0.00867178,-0.01261779
2018-02-26,0.00544278,-0.01308070,-0.01074685,-0.00867178,-0.01261779
2018-02-27,-0.00385751,-0.01308070,-0.01074685,-0.00867178,-0.01261779
2018-02-28,0.00939623,-0.01308070,-0.01074685,-0.00867178,-0.01261779
2018-03-01,0.00307084,-0.01308070,-0.01033602,-0.00838349,-0.01254641
2018-03-02,-0.00886210,-0.01308070,-0.01033602,-0.00838349,-0.01254641
2018-03-05,-0.00442897,-0.01308070,-0.01033602,-0.00867178,-0.01254641
2018-03-06,0.00297588,-0.01308070,-0.01009488,-0.00838349,-0.01234959
2018-03-07,-0.01074216,-0.01308070,-0.01009488,-0.00838349,-0.01234959
2018-03-08,0.00051113,-0.01308070,-0.01033602,-0.00867178,-0.01241922
2018-03-09,0.00864925,-0.01308070,-0.01033602,-0.00867178,-0.01241922
